speed_m_s,speed_km_h,cl,drag_n,ld,aero_power_w,prop_shaft_w,battery_input_w,flyable_clean
7.50,27.00,1.73945,33.253,32.431,249.40,283.41,200.78,False
7.70,27.72,1.64944,32.718,32.961,251.93,286.28,204.40,False
7.90,28.44,1.56650,32.288,33.400,255.08,289.87,208.90,True
8.10,29.16,1.48992,31.956,33.747,258.84,294.14,214.23,True
8.30,29.88,1.41911,31.712,34.006,263.21,299.10,220.43,True
8.50,30.60,1.35424,31.536,34.196,268.06,304.61,227.32,True
8.70,31.32,1.29374,31.441,34.300,273.54,310.84,235.11,True
8.90,32.04,1.23779,31.415,34.329,279.59,317.72,243.72,True
9.10,32.76,1.18579,31.454,34.287,286.23,325.27,253.16,True
9.30,33.48,1.13748,31.558,34.174,293.49,333.51,263.47,True
9.50,34.20,1.08415,31.678,34.053,300.94,341.98,275.89,True
9.70,34.92,1.03996,31.884,33.832,309.28,351.46,287.94,True
9.90,35.64,0.99841,32.135,33.568,318.13,361.51,300.70,True
10.10,36.36,0.95923,32.454,33.238,327.78,372.48,314.62,True
10.30,37.08,0.92224,32.834,32.853,338.19,384.30,329.58,True
10.50,37.80,0.88748,33.150,32.535,348.07,395.54,343.80,True
10.70,38.52,0.85443,33.575,32.124,359.25,408.24,359.88,True
10.90,39.24,0.82357,34.034,31.690,370.97,421.56,376.70,True
11.10,39.96,0.79431,34.533,31.234,383.31,435.58,394.38,True
11.30,40.68,0.76649,35.075,30.752,396.35,450.40,412.96,True
11.50,41.40,0.74005,35.663,30.245,410.12,466.05,432.57,True
11.70,42.12,0.71489,36.298,29.715,424.69,482.60,453.29,True
11.90,42.84,0.69093,36.981,29.166,440.08,500.09,475.19,True
12.10,43.56,0.66808,37.713,28.600,456.33,518.55,498.30,True
12.30,44.28,0.64628,38.497,28.017,473.51,538.08,522.69,True
12.50,45.00,0.62545,39.334,27.420,491.67,558.71,548.43,True
12.70,45.72,0.60554,40.226,26.812,510.87,580.54,575.61,True
12.90,46.44,0.58649,41.174,26.194,531.14,603.57,604.30,True
